"name","mean_degree","mean_betweenness","n_individual_projects","unique_partners","first_year","last_year","n_buildings","объект.культурного.наследия.регионального.значения","выявленный.объект.культурного.наследия","объект.культурного.наследия.федерального.значения","total","full_name","birth","death","birth_year","leningrad_authors_n_mentions","leningrad_authors_normalized_score","leningrad_authors_mean_order","leningrad_discussed_mentions","leningrad_discussed_normalized_score","leningrad_discussed_mean_order","studio1936","studio_head1936","board_member1940","board_member1945","constr_birth","year_checked","pre_revolution","constructivist","age_1917","age_1940","degree1940","betweenness1940"
"Потапов Н. П.",2,0,NA,2,1932,1932,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1900,"no",0,1,17,40,2,0
"Карамышев Б. Я.",2,0,NA,2,1933,1933,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1901,"no",0,0,16,39,2,0
"Светлицкий Б. П.",2,0,NA,2,1933,1933,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1901,"no",0,0,16,39,2,0
"Козлов А. В.",2,0,NA,2,1934,1934,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1902,"no",0,0,15,38,2,0
"Даугуль В. Г.",2,0,NA,2,1935,1935,2,0,0,0,0,"Даугуль Валентин Георгиевич","1900","1941",1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1900,"yes",0,0,17,40,2,0
"Звартау Э. А.",2,0,NA,2,1935,1936,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1903,"no",0,0,14,37,2,0
"Чурилин М. И.",2,0,NA,2,1935,1935,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1903,"no",0,0,14,37,2,0
"Демакин В. П.",2,0,NA,2,1936,1936,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1899,"no",0,0,18,41,2,0
"Козак С. Н.",2,0,NA,2,1937,1937,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1900,"no",0,0,17,40,2,0
"Гальнбек Л. И.",2,0,1,2,1937,1948,6,0,0,0,0,NA,NA,NA,NA,1,0.05,5,NA,NA,NA,NA,NA,NA,NA,1900,"no",0,0,17,40,2,0
"Лесовой В. В.",2,0,NA,2,1937,1937,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1900,"no",0,0,17,40,2,0
"Кедринский А.",2,0,NA,2,1938,1938,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1901,"no",0,0,16,39,2,0
"Корабельников А. О.",2,0,NA,2,1938,1938,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1901,"no",0,0,16,39,2,0
"Смирнов Н. И.",2,0,NA,2,1938,1938,2,0,0,0,0,NA,NA,NA,NA,1,0.08,12,NA,NA,NA,NA,NA,NA,NA,1901,"no",0,0,16,39,2,0
"Дризен Б. Я.",2,0,NA,2,1933,1933,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1901,"no",0,0,16,39,2,0
"Кивимаа О.",2,0,NA,2,1938,1938,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1901,"no",0,0,16,39,2,0
"Абрамович М. М.",2,0,NA,2,1938,1938,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1901,"no",0,0,16,39,2,0
"Шапиро И. С.",2,0,NA,2,1939,1939,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1902,"no",0,0,15,38,2,0
"Лапкина В. В.",2,0,NA,2,1940,1940,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1903,"no",0,0,14,37,2,0
"Мацкевич Я. Я.",2,0,NA,2,1950,1950,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1913,"no",0,0,4,27,NA,NA
"Берсеньева Т. В.",2,0,NA,2,1951,1951,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1912,"no",0,0,5,28,NA,NA
"Душечкина В. Я.",2,0,1,2,1952,1952,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1913,"no",0,0,4,27,NA,NA
"Гербер К. А.",2,0,5,2,1952,1952,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1913,"no",0,0,4,27,NA,NA
"Моносзон С. М.",2,0,1,2,1952,1952,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1913,"no",0,0,4,27,NA,NA
"Ярмолинский Э. И.",2,0,NA,2,1953,1953,3,0,0,0,0,"Ярмолинский Эмиль Иосифович","1918","1994",1918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1918,"yes",0,0,-1,22,NA,NA
"Кардакова В. А.",2,0,NA,2,1953,1953,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1914,"no",0,0,3,26,NA,NA
"Гольд Д. Л.",2,0,NA,2,1954,1954,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1915,"no",0,0,2,25,NA,NA
"Агеева Н. Г.",2,0,1,2,1954,1954,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1915,"no",0,0,2,25,NA,NA
"Дюбов Н. И.",2,0,NA,2,1955,1955,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1916,"no",0,0,1,24,NA,NA
"Олейник Ф. Ф.",2,0,NA,2,1955,1955,2,0,0,0,0,"Олейник Федор Федорович","1902","05.09.1954",1902,2,0.14,9,NA,NA,NA,NA,NA,NA,NA,1902,"yes",0,0,15,38,NA,NA
"Ганкевич В. В.",2,0,NA,2,1955,1955,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1916,"no",0,0,1,24,NA,NA
"Фролова Р. М.",2,0,NA,2,1956,1957,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1917,"no",0,0,0,23,NA,NA
"Челноков Е. Л.",2,0,NA,2,1956,1956,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1917,"no",0,0,0,23,NA,NA
"Подлеснова Е. П.",2,0,NA,2,1956,1956,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1917,"no",0,0,0,23,NA,NA
"Наумов С. Ф.",2,0,NA,2,1956,1956,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1917,"no",0,0,0,23,NA,NA
"Грушке. В. А.",2,0,NA,2,1957,1957,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1918,"no",0,0,-1,22,NA,NA
"Крискович Е. В.",2,0,NA,2,1958,1958,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1919,"no",0,0,-2,21,NA,NA
"Классен",2,0,NA,2,1958,1958,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1919,"no",0,0,-2,21,NA,NA
"Башнин Н. Н.",2,0,NA,2,1959,1959,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1920,"no",0,0,-3,20,NA,NA
"Левин М. И.",2,0,NA,2,1959,1959,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1920,"no",0,0,-3,20,NA,NA
"Шустрова Т. Ю.",2,0,NA,2,1959,1959,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1920,"no",0,0,-3,20,NA,NA
"Зайцев В. В.",2,0,NA,2,1960,1960,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1921,"no",0,0,-4,19,NA,NA
"Федорова Н. Н.",2,0,NA,2,1960,1960,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1921,"no",0,0,-4,19,NA,NA
"Щербин В. Н.",2,0,NA,2,1961,1961,2,0,0,0,0,"Щербин Владимир Николаевич","1930","1997",1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1930,"yes",0,0,-13,10,NA,NA
"Эрдели А. Г.",2,0,NA,2,1961,1961,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1925,"no",0,0,-8,15,NA,NA
"Тевьян А. Ш.",2,0,NA,2,1962,1964,4,0,0,0,0,"Тевьян Аркадий Шаэнович","1927","1994",1927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1927,"yes",0,0,-10,13,NA,NA
"Гиндзбург И. З.",2,0,NA,2,1962,1962,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,"no",0,0,-9,14,NA,NA
"Эрганов Е. А.",2,0,NA,2,1962,1962,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,"no",0,0,-9,14,NA,NA
"Керликов А. А.",2,0,NA,2,1963,1963,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1927,"no",0,0,-10,13,NA,NA
"Солодовников А. И.",2,0,NA,2,1963,1963,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1927,"no",0,0,-10,13,NA,NA
"Левин М. Д.",2,0,NA,2,1963,1963,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1927,"no",0,0,-10,13,NA,NA
"Палицын К. Е.",2,0,NA,2,1964,1964,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1928,"no",0,0,-11,12,NA,NA
"Кондратьев В. В.",2,0,NA,2,1964,1964,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1928,"no",0,0,-11,12,NA,NA
"Шульц Н. В.",2,0,NA,2,1964,1964,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1928,"no",0,0,-11,12,NA,NA
"Гутцайт Л. А.",2,0,NA,2,1965,1965,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1929,"no",0,0,-12,11,NA,NA
"Трегубов Н. Н.",2,0,NA,2,1965,1965,2,0,0,0,0,"Трегубов Натан Наумович","26.07.1934","1983",1934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1934,"yes",0,0,-17,6,NA,NA
"Исаева В. В.",2,0,NA,2,1965,1965,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1929,"no",0,0,-12,11,NA,NA
"Синица Ю. И.",2,0,NA,2,1965,1965,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1929,"no",0,0,-12,11,NA,NA
"Катонин Е. И.",2.01960784313725,0.732558139534884,3,8,1914,1955,40,3,2,0,5,"Катонин Евгений Иванович","05.04.1889","27.02.1984",1889,7,0.51,7.71,NA,NA,NA,NA,NA,NA,1,1889,"yes",1,1,28,51,3,0.5
"Иванов Г. И.",2.05,19.6041122086608,1,4,1946,1959,7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1909,"no",0,0,8,31,NA,NA
"Еремеев М. Ф.",2.05882352941176,6.52325581395349,19,7,1886,1910,7,0,0,0,0,"Еремеев Михаил Федорович","1864","1914",1864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1864,"yes",1,0,53,76,NA,NA
"Гутцайт А. Д.",2.06666666666667,0.182346723044397,1,5,1951,1964,7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1912,"no",0,0,5,28,NA,NA
"Претро И. А.",2.09302325581395,18.046511627907,16,9,1896,1929,10,5,1,0,6,"Претро Ипполит Александрович","31.12.1871","20.12.1937",1871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1871,"yes",1,1,46,69,NA,NA
"Батуев П. Н.",2.10526315789474,0.418604651162791,38,4,1900,1909,4,0,1,0,1,"Батуев Петр Николаевич","1872",NA,1872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1872,"yes",1,0,45,68,NA,NA
"Ильин Л. А.",2.11111111111111,33.4387596899225,5,8,1906,1941,27,7,2,3,12,"Ильин Лев Александрович","25.06.1880","11.12.1942",1880,12,0.93,5.17,NA,NA,NA,NA,NA,1,NA,1880,"yes",1,1,37,60,2,0
"Лансере Н. Е.",2.11764705882353,2.08139534883721,2,7,1913,1937,10,2,2,1,5,NA,NA,NA,NA,1,0.05,6,NA,NA,NA,NA,NA,NA,NA,1873,"no",1,1,44,67,3,2
"Шаламов В. Г.",2.14285714285714,0.162790697674419,4,3,1884,1888,3,0,2,0,2,"Шаламов Владимир Григорьевич","1836","1887",1836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1836,"yes",1,0,81,104,NA,NA
"Шперер Л. Ф.",2.14285714285714,0.209302325581395,2,3,1895,1899,3,0,2,0,2,"Шперер Людвиг Францевич","1835","1898",1835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1835,"yes",1,0,82,105,NA,NA
"Гун А. Л.",2.14285714285714,2.15116279069767,1,3,1908,1912,3,0,0,2,2,"Гун Андрей Леонтьевич","26.04.1841","1924",1841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1841,"yes",1,0,76,99,NA,NA
"Серебровский Б. М.",2.19354838709677,7.08139534883721,3,6,1935,1956,11,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3rd studio",0,NA,NA,1903,"no",0,0,14,37,3,110
"Шретер В. А.",2.22222222222222,2.5,16,6,1886,1903,6,1,2,0,3,"Шретер Виктор Александрович","09.05.1839","29.04.1901",1839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1839,"yes",1,0,78,101,NA,NA
"Кондратьев С. П.",2.22222222222222,1.40697674418605,19,4,1894,1902,4,0,0,0,0,"Кондратьев Сергей Петрович","1862","1917",1862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1862,"yes",1,0,55,78,NA,NA
"Зограф А. А.",2.22222222222222,1.26744186046512,9,4,1894,1902,4,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1853,"no",1,0,64,87,NA,NA
"Липский В. А.",2.22222222222222,2.87209302325581,26,4,1899,1907,4,1,0,0,1,"Липский Владимир Александрович","1869","1911",1869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1869,"yes",1,0,48,71,NA,NA
"Барановский А. Ф.",2.22222222222222,0.953488372093023,10,4,1907,1915,4,0,1,0,1,"Барановский Александр Федорович","1861","1921",1861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1861,"yes",1,0,56,79,NA,NA
"Шприц А. В.",2.25,9.11627906976744,NA,4,1958,1965,10,0,0,0,0,"Шприц Анатолий Васильевич","1925",NA,1925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1925,"yes",0,0,-8,15,NA,NA
"Мельцер Р. Ф.",2.26315789473684,0.488372093023256,18,4,1904,1913,9,5,0,0,5,"Мельцер Роман Федорович (Роберт-Фридрих)","13.11.1860","1943",1860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1860,"yes",1,0,57,80,NA,NA
"Фуфаевский Л. Л.",2.27272727272727,30.6976744186047,10,5,1895,1907,5,0,0,0,0,"Фуфаевский Леонид Леонидович","1865","1931",1865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1865,"yes",1,0,52,75,NA,NA
"Товстолес Н. И.",2.30769230769231,12.1279069767442,35,6,1897,1913,6,0,0,0,0,"Товстолес Николай Иванович","1872","1956",1872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1872,"yes",1,0,45,68,NA,NA
"Котов Л. В.",2.30769230769231,2.56976744186047,23,3,1908,1911,3,0,0,0,0,"Котов Леонид Васильевич","1877",NA,1877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1877,"yes",1,0,40,63,NA,NA
"Цолликофер Г. Г.",2.30769230769231,0.558139534883721,NA,3,1910,1913,3,0,0,0,0,"Цолликофер Георгий Георгиевич","1877",NA,1877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1877,"yes",1,0,40,63,NA,NA
"Демков Н. Ф.",2.30769230769231,5.17441860465116,4,3,1930,1933,3,1,1,0,2,"Демков Николай Федорович","1895","1941",1895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1895,"yes",0,1,22,45,1,0
"Гедике Г. Е.",2.30769230769231,7.68604651162791,NA,3,1936,1939,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1899,"no",0,0,18,41,3,110
"Ульман Р. О.",2.30769230769231,2.61627906976744,1,5,1900,1916,18,0,0,0,0,"Ульман Роберт Оттонович","1884",NA,1884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1862,"no",1,0,55,78,NA,NA
"Мейбом К. К.",2.30769230769231,2.02325581395349,NA,3,1904,1907,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1868,"no",1,0,49,72,NA,NA
"Балбашевский И. Л.",2.33333333333333,6.23255813953488,13,3,1906,1911,NA,0,0,0,0,"Балбашевский Иван Леонардович","15.10.1868","09.05.1919",1868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1868,"yes",1,0,49,72,NA,NA
"Бенуа Л. Н.",2.34042553191489,6.23255813953488,13,11,1882,1919,21,1,1,2,4,"Бенуа Леонтий Николаевич","23.08.1856","08.02.1928",1856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1856,"yes",1,0,61,84,NA,NA
"Шене В. И.",2.34615384615385,5.02325581395349,6,6,1898,1914,7,1,1,0,2,"Шене Василий Иванович","1867","1935",1867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1867,"yes",1,0,50,73,NA,NA
"Самсонов П. С.",2.35294117647059,4.47674418604651,9,4,1899,1906,4,0,0,0,0,"Самсонов Петр Сергеевич","1836","1907",1836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1836,"yes",1,0,81,104,NA,NA
"Рославлев М. И.",2.35294117647059,1.84883720930233,NA,4,1907,1914,4,0,0,0,0,NA,NA,NA,NA,4,0.39,7,NA,NA,NA,NA,NA,NA,1,1869,"no",1,0,48,71,NA,NA
"Гальперин В. М.",2.35294117647059,3.47093023255814,2,4,1930,1937,5,1,0,0,1,"Гальперин Владимир Михайлович","1898","1971",1898,7,0.61,5,NA,NA,NA,NA,NA,NA,1,1898,"yes",0,1,19,42,1,0
"Рубанчик Я. О.",2.36111111111111,1.80232558139535,1,5,1929,1955,63,0,2,0,2,"Рубанчик Яков Иосифович","04.06.1899","1948",1899,6,0.6,7,3,1.7,2.33,NA,NA,NA,NA,1899,"yes",0,1,18,41,2,0
"Саркисов М. И.",2.375,0.523255813953488,3,3,1948,1954,8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1911,"no",0,0,6,29,NA,NA
"Безверхний Л. М.",2.38461538461538,0.0348837209302326,1,3,1953,1958,7,0,0,0,0,NA,NA,NA,NA,1,0.2,2,NA,NA,NA,NA,NA,NA,NA,1914,"no",0,0,3,26,NA,NA
"Катонин Л. С.",2.42857142857143,0.0348837209302326,NA,3,1934,1938,4,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1902,"no",0,0,15,38,3,0.5
"Тавлинов В. П.",2.42857142857143,1.54651162790698,NA,3,1902,1906,5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1866,"no",1,0,51,74,NA,NA
"Климентов М. Я.",2.44444444444444,6.62790697674419,14,3,1957,1960,4,0,0,0,0,"Климентов Михаил Яковлевич","14.10.1906","1975",1906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1906,"yes",0,0,11,34,NA,NA
"Москаленко Я. Е.",2.45454545454545,19.4145496394471,1,3,1955,1959,8,0,0,0,0,"Москаленко Ярослава Евгеньевна","1925",NA,1925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1925,"yes",0,0,-8,15,NA,NA
"Бубырь А. Ф.",2.48148148148148,31.5372093023256,5,6,1897,1914,16,0,0,0,0,"Бубырь Алексей Федорович","28.03.1876","1919",1876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1876,"yes",1,0,41,64,NA,NA
"Андерсин М. Ф.",2.5,0.186046511627907,2,3,1887,1889,4,1,2,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1843,"no",1,0,74,97,NA,NA
"Кричевский Д. Л.",2.5,10.3837209302326,3,4,1927,1941,13,1,1,1,3,"Кричевский Давид Львович","1892","1942",1892,7,0.53,8.71,NA,NA,NA,"2nd studio",1,NA,NA,1892,"yes",0,1,25,48,3,110
"Зимичев М. И.",2.5,1.99429678848284,NA,3,1936,1938,3,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1899,"no",0,0,18,41,3,6.33333333333333
"Владимирова Е. Ф.",2.5,7.56046511627907,NA,5,1956,1965,10,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1917,"no",0,0,0,23,NA,NA
"Вланин Г. М.",2.5,0.063953488372093,NA,3,1960,1963,6,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1921,"no",0,0,-4,19,NA,NA
"Грибоедов К. Д.",2.5,3.04651162790698,NA,4,1908,1914,6,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1870,"no",1,0,47,70,NA,NA
"Линдрот Л. Н.",2.5,0.0465116279069767,NA,3,1953,1955,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1914,"no",0,0,3,26,NA,NA
"Куликов А. А.",2.5,2.09883133662203,NA,3,1956,1965,5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1917,"no",0,0,0,23,NA,NA
"Лансере А. Н.",2.53333333333333,10,1,4,1951,1957,4,0,0,0,0,"Лансере Алексей Николаевич","1916","2003",1916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1916,"yes",0,0,1,24,NA,NA
"Руднев Л. В.",2.53846153846154,2.53488372093023,NA,3,1930,1933,4,0,2,0,2,"Руднев Лев Владимирович","13.03.1885","19.11.1956",1885,4,0.27,5.75,1,0.03,35,NA,NA,1,NA,1885,"yes",0,1,32,55,2,0
"Гинцберг А. С.",2.5625,62.3088593576965,NA,6,1934,1960,97,0,0,0,0,"Гинцберг Александр Соломонович","1910","1957",1910,6,0.6,3.5,NA,NA,NA,NA,NA,1,NA,1910,"yes",0,0,7,30,5,751.017857142857
"Лебедев В. В.",2.57142857142857,4.54894795127353,NA,3,1937,1941,11,0,1,0,1,NA,NA,NA,NA,1,0.05,16,NA,NA,NA,NA,NA,NA,NA,1900,"no",0,0,17,40,3,44.6166666666666
"Мачерет А. Я.",2.58333333333333,8.73255813953488,4,3,1952,1954,4,0,0,0,0,"Мачерет Александр Яковлевич","1915","1973",1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1915,"yes",0,0,2,25,NA,NA
"Суслова О. В.",2.6,22.8500645994832,NA,3,1935,1940,12,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1903,"no",0,0,14,37,3,85.3845238095239
"Савкевич М. П.",2.63333333333333,9.80589700996679,NA,8,1936,1960,17,0,0,0,0,NA,NA,NA,NA,1,0.04,9,NA,NA,NA,"3rd studio",0,NA,NA,1899,"no",0,0,18,41,3,0
"Хряков А. Ф.",2.64285714285714,4.80813953488372,NA,3,1933,1937,8,2,2,0,4,"Хряков Александр Федорович","14.08.1903","23.04.1976",1903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1903,"yes",0,0,14,37,3,54.5
"Абросимов П. В.",2.64285714285714,4.80813953488372,1,3,1933,1937,8,0,0,0,0,"Абросимов Павел Васильевич","27.12.1900","21.03.1961",1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1900,"yes",0,0,17,40,3,54.5
"Кац А. Д.",2.64705882352941,22.49311554079,NA,4,1949,1959,18,0,0,0,0,"Кац Абрам Давидович","1910","1991",1910,NA,NA,NA,NA,NA,NA,"2nd studio",0,NA,NA,1910,"yes",0,0,7,30,NA,NA
"Архангельский Н. А.",2.66666666666667,0.790697674418605,10,4,1886,1891,4,0,0,0,0,"Архангельский Николай Александрович","14.03.1862","1917",1862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1862,"yes",1,0,55,78,NA,NA
"Рубаненко Б. Р.",2.66666666666667,7.30346068660023,2,6,1930,1953,40,0,1,0,1,"Рубаненко Борис Рафаилович","29.08.1910","1985",1910,5,0.27,8.2,1,0.08,7,NA,NA,1,NA,1910,"yes",0,1,7,30,4,41.9380952380952
"Черкасский В. М.",2.66666666666667,14.1860465116279,NA,4,1934,1939,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1902,"no",0,0,15,38,4,218
"Шифрин Н. М.",2.69230769230769,38.2195090439276,NA,6,1939,1955,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1902,"no",0,0,15,38,4,252.407142857143
"Павлов Ф. Д.",2.72727272727273,3.11627906976744,8,6,1901,1913,6,0,0,0,0,"Павлов Федор Демьянович",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1865,"no",1,0,52,75,NA,NA
"Андреевский П. В.",2.72727272727273,10.5116279069767,2,3,1951,1952,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1912,"no",0,0,5,28,NA,NA
"Голынкин О. Б.",2.72727272727273,15.0503875968992,NA,4,1955,1960,4,0,0,0,0,"Голынкин Олег Борисович","1919","2014",1919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1919,"yes",0,0,-2,21,NA,NA
